"PTS","Pos","Club","Group","Year","Value","Value_centered","clas_factor","fitted","sum_p","real_p"
11,1,"cruzeiro",3,2015,87.05,60.33,"SI",0.993530151690532,1.53850934998892,64.5774529545555
9,2,"universitario de sucre",3,2015,5.05,-21.67,"SI",0.159155678578189,1.53850934998892,10.3447976172088
7,3,"huracan",3,2015,11.93,-14.79,"NO",0.249273288775856,1.53850934998892,16.2022602448045
4,4,"mineros de guayana",3,2015,2.85,-23.87,"NO",0.136550230944344,1.53850934998892,8.87548918343118
13,1,"sport internacional",4,2015,59.15,33.0175,"SI",0.942834228400808,1.95099740331027,48.325755165081
10,2,"emelec",4,2015,24.65,-1.4825,"SI",0.496151782788193,1.95099740331027,25.430673661911
9,3,"the strongest",4,2015,1.98,-24.1525,"NO",0.133852032614859,1.95099740331027,6.86069763023526
3,4,"universidad de chile",4,2015,18.75,-7.3825,"NO",0.378159359506408,1.95099740331027,19.3828735427727
18,1,"boca juniors",5,2015,51.33,34.7775,"SI",0.950107798621152,1.86790007977705,50.8650226480291
10,2,"montevideo wanderers",5,2015,10.48,-6.0725,"SI",0.403632235430468,1.86790007977705,21.6088772520768
7,3,"palestino",5,2015,4.05,-12.5025,"NO",0.285850286306925,1.86790007977705,15.3032964344133
0,4,"zamora",5,2015,0.35,-16.2025,"NO",0.228309759418509,1.86790007977705,12.2228036654808
14,1,"tigres",6,2015,39.4,16.8475,"SI",0.814874014410164,2.05950635881292,39.5664723696142
7,2,"river plate",6,2015,43.35,20.7975,"SI",0.858717078653563,2.05950635881292,41.6952865903516
6,3,"juan aurich",6,2015,4.43,-18.1225,"NO",0.20185735917271,2.05950635881292,9.8012496202759
4,4,"club san jose",6,2015,3.03,-19.5225,"NO",0.184057906576487,2.05950635881292,8.93699141975826
11,1,"atletico nacional",7,2015,17.7,-1.82,"SI",0.489260707909452,2.10549800990353,23.2372913965313
10,2,"estudiantes de la plata",7,2015,24.9,5.38,"SI",0.633023351190079,2.10549800990353,30.0652552608721
8,3,"libertad",7,2015,7.58,-11.94,"NO",0.295322261309673,2.10549800990353,14.0262427188523
4,4,"barcelona sc",7,2015,27.9,8.38,"NO",0.687891689494327,2.10549800990353,32.6712106237443
12,1,"racing club",8,2015,20.38,11.4,"SI",0.738268220286305,2.08637827367275,35.3851566421221
9,2,"guarani",8,2015,5.28,-3.7,"SI",0.451022000462112,2.08637827367275,21.6174605608866
7,3,"sport. cristal",8,2015,7.68,-1.3,"NO",0.499878843904569,2.08637827367275,23.9591664758188
3,4,"deportivo tachira",8,2015,2.58,-6.4,"NO",0.397209209019761,2.08637827367275,19.0382163211725
11,1,"river plate",1,2016,80.13,41.69,"SI",0.971010329906817,2.01308979190917,48.234824587031
9,2,"sao paulo",1,2016,70.05,31.61,"SI",0.936312175055896,2.01308979190917,46.5111978024546
8,3,"the strongest",1,2016,2.78,-35.66,"NO",0.0569268759609057,2.01308979190917,2.82783590626216
4,4,"trujillanos",1,2016,0.8,-37.64,"NO",0.048840410985553,2.01308979190917,2.42614170425224
11,1,"rosario central",2,2016,34.48,-0.685,"SI",0.51243621990261,1.84612786004323,27.7573526186107
9,2,"nacional",2,2016,18.78,-16.385,"SI",0.225693750185176,1.84612786004323,12.2252502153286
8,3,"palmeiras",2,2016,75.8,40.635,"NO",0.968483306257169,1.84612786004323,52.4602508427825
3,4,"river plate uruguay",2,2016,11.6,-23.565,"NO",0.139514583698271,1.84612786004323,7.55714632327817
12,1,"boca juniors",3,2016,84.9,50.5925,"SI",0.985778107568516,1.82447165908398,54.0308808120071
9,2,"racing club",3,2016,39.9,5.5925,"SI",0.637046600950447,1.82447165908398,34.9167715364946
6,3,"bolivar",3,2016,6.85,-27.4575,"NO",0.105523166613597,1.82447165908398,5.78376573229845
3,4,"deportivo cali",3,2016,5.58,-28.7275,"NO",0.096123783951425,1.82447165908398,5.26858191919989
16,1,"atletico nacional",4,2016,20.3,3.305,"SI",0.592835804754959,2.10595963052458,28.150387887886
8,2,"huracan",4,2016,21.63,4.635,"SI",0.618774427612246,2.10595963052458,29.3820650046418
5,3,"penarol",4,2016,17.3,0.305,"NO",0.532610868478266,2.10595963052458,25.2906494862676
4,4,"sport. cristal",4,2016,8.75,-8.245,"NO",0.361738529679106,2.10595963052458,17.1768976212046
13,1,"atletico mineiro",5,2016,60.15,34.46,"SI",0.948863865388078,1.86328535481859,50.9242378218799
11,2,"independiente del valle",5,2016,17.45,-8.24,"SI",0.361832840258555,1.86328535481859,19.4190782062892
9,3,"colo colo",5,2016,13.83,-11.86,"NO",0.296684110376324,1.86328535481859,15.9226341584812
0,4,"fbc melgar",5,2016,11.33,-14.36,"NO",0.255904538795636,1.86328535481859,13.7340498133497
13,1,"toluca",6,2016,31.9,-8.445,"SI",0.357974904991911,2.03212308074931,17.6158082344065
11,2,"gremio",6,2016,63.68,23.335,"SI",0.882047632596018,2.03212308074931,43.4052268266536
4,3,"san lorenzo",6,2016,43.4,3.055,"NO",0.587896957822983,2.03212308074931,28.9301845637326
4,4,"ldu quito",6,2016,22.4,-17.945,"NO",0.204203585338394,2.03212308074931,10.0487803752073
15,1,"pumas",7,2016,32.6,14.905,"SI",0.789732339245476,2.09298003416119,37.7324353962114
9,2,"deportivo tachira",7,2016,1.93,-15.765,"SI",0.234667590917832,2.09298003416119,11.212127544823
7,3,"olimpia",7,2016,14.25,-3.445,"NO",0.456184891275335,2.09298003416119,21.7959504548337
4,4,"emelec",7,2016,22,4.305,"NO",0.61239521272255,2.09298003416119,29.2594866041319
13,1,"corinthians",8,2016,62.7,39.105,"SI",0.964436602346324,1.82324318824721,52.8967615819529
10,2,"cerro porteno",8,2016,17.25,-6.345,"SI",0.398285478405016,1.82324318824721,21.8448905210451
8,3,"independiente santa fe",8,2016,10.98,-12.615,"NO",0.283977897765607,1.82324318824721,15.5754262292685
3,4,"cobresal",8,2016,3.45,-20.145,"NO",0.176543209730263,1.82324318824721,9.68292166773342
10,1,"botafogo",1,2017,29.4,1.03,"SI",0.547321606642217,2.10349149502967,26.0196729074246
10,2,"barcelona sc",1,2017,22.03,-6.34,"SI",0.398383370020908,2.10349149502967,18.9391481240711
9,3,"estudiantes de la plata",1,2017,33.9,5.53,"NO",0.635865253568397,2.10349149502967,30.2290384853412
6,4,"atletico nacional",1,2017,28.15,-0.22,"NO",0.521921264798148,2.10349149502967,24.8121404831631
12,1,"santos fc",2,2017,47.13,26.09,"SI",0.903525272248877,1.99877779455399,45.203887831388
9,2,"the strongest",2,2017,4.35,-16.69,"SI",0.221369366535537,1.99877779455399,11.0752364339195
8,3,"independiente santa fe",2,2017,23.88,2.84,"NO",0.583635307862838,1.99877779455399,29.1996093539288
2,4,"sport. cristal",2,2017,8.8,-12.24,"NO",0.29024784790674,1.99877779455399,14.5212663807638
13,1,"river plate",3,2017,71.25,39.83,"SI",0.966413022539806,1.8164626526073,53.203021881713
10,2,"emelec",3,2017,19.6,-11.82,"SI",0.297366394767587,1.8164626526073,16.3706308159298
9,3,"independiente medellin",3,2017,24.5,-6.92,"NO",0.387083987518282,1.8164626526073,21.3097685747996
3,4,"fbc melgar",3,2017,10.33,-21.09,"NO",0.165599247781625,1.8164626526073,9.11657872755759
10,1,"san lorenzo",4,2017,33.55,-2.9975,"SI",0.465267391943302,2.08819522169081,22.2808378790646
10,2,"atletico paranaense",4,2017,40.53,3.9825,"SI",0.606123504806642,2.08819522169081,29.0261896258849
9,3,"flamengo",4,2017,57.18,20.6325,"NO",0.857073863014766,2.08819522169081,41.0437613357239
5,4,"universidad catolica",4,2017,14.93,-21.6175,"NO",0.159730461926097,2.08819522169081,7.64921115932657
13,1,"palmeiras",5,2017,63.28,37.49,"SI",0.959623640123506,1.85594720496157,51.7053307097372
9,2,"wilstermann",5,2017,4.5,-21.29,"SI",0.163354024060066,1.85594720496157,8.80165252671871
